"Refs","Value","Footprint","Qty","DNP"
"C1,C3,C5,C7,C9,C10,C13,C17,C19,C21","100nF","Aboka_Passive:C0603","10",""
"C2,C4","2.2uF","Aboka_Passive:C0805","2",""
"C6","10uF","Aboka_Passive:C0805","1",""
"C8,C15","10nF","Aboka_Passive:C0603","2",""
"C11,C12,C16","1uF","Aboka_Passive:C0603","3",""
"C14","4.7uF","Aboka_Passive:C0805","1",""
"C18","100uF 10V","Aboka_Passive:CAP-TH_BD5.0-P2.00-D0.5-FD","1",""
"CN1","ZX-SH1.0-7PWT","Aboka_Connector:CONN-SMD_7P-P1.00_MEGASTAR_ZX-SH1.0-7PWT","1",""
"D1","SMF6.0A","Aboka_Passive:SOD-123FL_L2.8-W1.9-LS3.7-RD","1",""
"D2","USBLC6-2SC6","Aboka_Discrete:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1",""
"D3,D4","PESD5V0S1BA","Aboka_Discrete:SOD-323_L1.7-W1.3-LS2.5-BI","2",""
"F1","Fuse","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"H1","P= 2.54","Locator_Connector:HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","1",""
"MIC1","ZTS6216","Aboka_IC:MIC-SMD_4P-L2.8-W1.9-P1.84-TL","1",""
"R1,R3,R5,R7,R11,R17,R19","10K","Aboka_Passive:R0603","7",""
"R2,R18","1K","Aboka_Passive:R0603","2",""
"R4,R10","47R","Aboka_Passive:R0603","2",""
"R8","2K","Aboka_Passive:R0603","1",""
"R9,R12","47K","Aboka_Passive:R0603","2",""
"R13,R14","5.1K","Aboka_Passive:R0603","2",""
"SW1,SW2","TS-1088-AR02016","Aboka_Electromechanical:SW-SMD_L3.9-W3.0-P4.45","2",""
"TP1,TP2","~","Aboka_Board:TP= 1.2mm","2",""
"U1","DS18B20","Aboka_IC:TO-92-3_L4.9-W3.7-P1.27-L","1",""
"U2","DYWH-IRM-3638T","Aboka_IC:OPTO-TH_3P-L6.0-W5.6-P2.54_TSOP14656","1",""
"U3","TLV9001IDBVR","Aboka_IC:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1",""
"U4,U6","VH3.96-3P ZZ","Aboka_Connector:CONN-TH_3P-P3.96_FWF39601-S03S22W1B","2",""
"U5","SN74LVC2T45DCUR","Aboka_IC:VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BR","1",""
"U7","TLV75533PDBVR","Aboka_IC:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1",""
"U8","STM32F042G6U6TR","Aboka_IC:UFQFPN-28_L4.0-W4.0-P0.50-BL","1",""
"USB1","TYPE-C 16PIN 2MD","Aboka_Connector:USB-C-SMD_TYPE-C-16PIN-2MD-073","1",""
